name,games played,minutes,pts,reb,asts,turnover,fgm
CALHOBI01 ,442,8221,3440,1292,1036,0,1171
CALHOCO01 ,542,10901,2896,1962,601,121,1200
CALIPDE01 ,7,58,11,5,12,5,4
CALLATO01 ,13,0,17,0,4,0,6
CALLORI01 ,64,678,205,78,61,51,75
CALVEER01 ,165,0,1961,0,572,0,767
CALVIMA01 ,222,3326,1552,276,550,182,480
CALVIMA01 ,533,18267,10620,1647,3067,1213,3502
CAMBRDE01 ,53,885,370,167,58,63,151
CAMBYMA01 ,757,23227,8102,7426,1409,1137,3268
CAMPBEL01 ,1045,25776,10805,6116,1199,1378,4062
CAMPBTO01 ,690,15180,7994,2117,1019,1083,3180
CANNOLA01 ,191,5771,3421,581,722,105,1232
CANNOLA01 ,22,361,124,39,55,3,52
CARDFR01  ,306,6901,2894,1721,372,237,1116
CARDIBR01 ,327,5319,1872,928,385,298,593
CARLHO01  ,31,382,170,39,57,0,67
CARLICH01 ,51,0,256,0,17,0,100
CARLIGE01 ,6,16,8,1,1,1,2
CARLIRI01 ,188,1461,422,141,201,120,178
CARLODO01 ,56,1527,628,279,159,140,207
CARLSAL01 ,28,279,72,73,13,0,27
CARLSDO01 ,180,0,1447,15,324,0,599
CARNEBO01 ,19,244,69,45,16,0,24
CarneRo01 ,204,3417,1332,404,84,120,516
CARPEBO01 ,122,0,937,229,171,0,321
CARRAN01  ,987,19780,9176,3384,1086,1187,3663
CARRAU01  ,682,19660,10473,1990,1878,470,4359
CARRCH01  ,297,4505,1988,658,294,310,730
CARRCO01  ,42,624,171,49,66,46,71
CARRIBO01 ,82,1787,672,187,120,123,268
CARRIDA01 ,350,12338,7011,1187,896,494,2445
CARRKE01  ,674,17167,7813,4999,923,1438,3057
CARRML01  ,74,2174,906,459,224,162,380
CARRML01  ,604,14216,5853,2595,1112,867,2330
CARROJO01 ,705,22838,12455,5404,1264,1964,5021
CARROMA01 ,326,6276,2590,725,246,244,871
CARRUJI01 ,4,21,5,4,0,1,2
CARTEAN01 ,512,10656,2670,1129,2100,844,1091
CARTEBU01 ,361,6814,3137,546,683,479,1290
CARTEFR01 ,611,18328,9271,2381,2122,0,3917
CARTEGE01 ,1,5,3,0,1,0,1
CARTEGE01 ,478,16229,8680,3243,958,888,3274
CARTEHO01 ,66,754,351,89,75,50,149
CARTEJA01 ,24,0,82,0,24,0,23
CARTEMA01 ,10,110,42,11,4,9,11
CARTERE01 ,135,1459,471,164,206,116,178
CARTERO01 ,59,449,176,64,34,50,69
CARTEVI01 ,777,29275,18254,4245,3315,1851,6667
CARTWBI01 ,963,27491,12713,6106,1390,1892,4656
CARTYJA01 ,28,192,76,58,11,0,34
CASHCO01  ,6,49,21,16,1,0,9
CASHSA01  ,7,52,20,19,0,5,4
CASSESA01 ,994,29818,15635,3221,5939,2419,5698
CATCHHA01 ,725,13182,2335,3639,608,594,926
CATLESI01 ,9,40,6,4,1,0,2
CATLETE01 ,515,13541,6520,3314,459,886,2576
CATOKE01  ,541,10622,2960,2874,244,448,1123
CATTABO01 ,78,522,242,107,11,31,88
CAUSWDU01 ,541,9409,2648,2273,243,500,1029
CAVENRO01 ,58,669,84,168,19,47,30
CEBALCE01 ,609,14712,8693,3258,723,991,3414
CELESJO01 ,16,185,37,11,20,16,15
CERVIAL01 ,202,1151,1591,261,648,0,405
CHALMLI01 ,36,433,111,31,51,24,42
ChalmMa01 ,82,2629,818,228,403,165,278
CHAMBBI01 ,50,665,262,118,76,58,112
CHAMBBI01 ,28,367,153,80,37,0,57
CHAMBJE01 ,81,1464,736,293,88,83,293
CHAMBJE01 ,238,3691,1931,739,182,0,822
CHAMBTO01 ,1107,33922,20049,6703,2283,2549,7378
CHAMBWI01 ,1045,47859,31419,23924,4643,0,12681
CHAMPMI01 ,2,4,0,0,0,1,0
CHANDTY01 ,537,15069,4413,4841,468,845,1671
ChandWi01 ,117,3421,1439,572,203,166,561
CHANEDO01 ,742,17406,6216,2913,1593,159,2513
CHANEDO01 ,48,1475,447,234,169,119,191
CHANEJO01 ,16,0,70,0,20,0,25
CHAPMRE01 ,666,19532,9731,1645,1798,1030,3716
CHAPMWA01 ,206,3294,1432,505,316,45,550
CHAPPLE01 ,79,1403,606,318,69,63,231
CHAPPLE01 ,591,10596,5621,3113,434,0,2212
CHARLKE01 ,322,7637,2747,640,806,37,1083
CHARLLO01 ,36,273,122,39,8,18,49
CHEANCA01 ,825,22016,7826,2610,1398,994,3366
CHEEKMA01 ,1101,34845,12195,3088,7392,2268,4906
CHENIPH01 ,578,19116,9931,2063,1742,157,4120
CHIEVDE01 ,154,2240,1086,364,110,187,399
CHILCPE01 ,584,8394,2494,1933,488,390,1044
CHILDCH01 ,541,13614,3710,1308,2633,1064,1288
CHILDJO01 ,284,8925,3162,1583,526,385,1168
CHILDRA01 ,51,405,124,25,49,46,39
CHOLLLE01 ,63,0,181,15,49,0,67
CHONEJI01 ,165,4540,2157,1231,213,419,930
CHONEJI01 ,623,19125,7664,5196,1079,746,3280
CHRISBO01 ,2,11,2,3,0,0,1
CHRISBO01 ,246,3012,942,1002,203,0,346
CHRISCA01 ,291,4009,1507,1587,460,0,486
CHRISDO01 ,827,26074,9301,3382,2992,1721,3238
CHRISFR01 ,6,48,20,8,7,0,5
CHUBIST01 ,226,5596,2904,861,835,596,910
CHURCRO01 ,4,20,6,3,1,2,3
CLARKAR01 ,725,23581,11819,2427,3498,0,4693
CLARKCA01 ,93,689,223,86,65,54,83
CLARKDI01 ,58,1137,358,140,101,106,110
CLARKKE01 ,353,7973,2882,2096,322,470,1179
CLAWSJO01 ,70,1067,331,195,51,73,147
CLAXTCH01 ,3,7,2,2,0,1,1
CLAXTSP01 ,334,8549,3096,671,1441,580,1126
CLEAMJI01 ,652,16994,5412,1981,2531,364,2242
CLEAVMA01 ,167,1866,609,175,310,201,233
CLEMEJO01 ,790,12585,5312,2532,905,0,2262
CLIFTNA01 ,544,14369,5444,4469,1367,0,2082
CLOSSBI01 ,186,1120,1669,605,346,0,605
CLOSSKE01 ,130,1647,502,372,44,78,201
CLOYDPA01 ,7,0,19,0,2,0,7
CLUGGMA01 ,54,0,238,0,22,0,93
CLYDEBE01 ,25,157,69,41,5,0,31
COFFERI01 ,52,320,68,79,3,5,28
COFIEFR01 ,50,496,169,51,86,50,77
COKERJO01 ,25,141,41,29,3,4,18
COLEMBE01 ,227,3612,1494,928,128,302,583
COLEMDE01 ,781,25905,12884,7232,1985,2036,4616
COLEMEC01 ,357,9310,2553,2151,472,95,1104
COLEMJA01 ,633,16479,6721,5186,1749,0,2813
COLEMNO01 ,29,431,153,81,13,16,66
COLESBI01 ,852,20317,6628,1820,3313,1267,2549
COLLIAR01 ,29,395,94,41,25,32,35
COLLIDO01 ,415,13945,7427,1339,1368,485,2927
COLLIDO02 ,303,6134,2983,837,546,548,1235
COLLIJA01 ,23,104,59,14,3,8,21
COLLIJA02 ,151,2177,841,443,51,120,338
COLLIJA03 ,572,13404,2404,2463,578,539,840
COLLIJA04 ,480,8107,2044,1493,411,317,665
COLLIJI01 ,74,612,281,66,70,0,118
ColliMa01 ,146,2301,631,286,283,171,249
COLLINI01 ,379,9271,3097,2628,367,453,1280
COLONJO01 ,15,0,83,0,9,0,35
COLSOSE01 ,13,44,15,6,10,2,6
COLTEST01 ,526,9570,3319,1051,1482,534,1295
COMBSGL01 ,465,15275,7666,1230,1639,601,2652
COMBSLE01 ,48,446,218,56,38,46,81
COMEAJO01 ,23,189,77,28,11,15,27
COMEGDA01 ,142,2241,856,452,95,201,322
COMLELA01 ,12,89,25,19,12,0,8
CONGDJE01 ,306,6283,1995,601,1002,229,764
CONLEGE01 ,351,5791,2069,2212,201,0,833
CONLELA01 ,1,18,2,0,0,3,1
ConleMi01 ,135,3886,1393,415,576,232,512
CONLIED01 ,486,11392,4891,2349,949,0,1862
CONLOMA01 ,379,6316,2454,1310,379,413,967
CONNEJI01 ,24,240,106,28,38,32,42
CONNELE01 ,687,14970,4337,1861,2669,914,1639
CONNOCH01 ,53,0,239,0,41,0,99
ConroWi01 ,7,51,0,7,9,2,0
COOKAN01  ,116,1499,418,428,34,66,166
COOKBE01  ,37,424,118,72,33,0,42
COOKBO01  ,51,0,587,0,158,0,222
COOKBR01  ,334,4879,2017,948,226,210,805
COOKDA01  ,612,14156,5820,1308,2248,1122,2479
CookDa02  ,134,3277,1204,367,145,104,438
COOKEDA01 ,6,38,9,10,1,2,2
COOKEJO01 ,73,725,316,114,93,0,134
COOKJE01  ,518,9697,2734,2334,707,569,1085
COOKNO01  ,27,148,65,30,6,0,28
COOKOM01  ,22,213,37,13,46,16,17
COOPECH01 ,409,7964,2725,2431,734,0,933
COOPEDU01 ,88,781,204,59,178,89,80
COOPEJO01 ,24,389,109,97,19,33,45
COOPEMI01 ,873,23635,7729,2769,3666,1429,3014
COOPEWA01 ,984,20274,7777,6095,852,1181,3242
COPATO01  ,33,132,48,36,3,8,22
COPELHO01 ,93,1260,464,161,89,88,198
COPELLA01 ,33,158,90,17,14,23,38
CORBITY01 ,1065,27657,9766,5046,1894,1310,3918
CORCHCH01 ,112,1313,416,129,243,120,131
CORLEKE01 ,3,0,0,0,0,0,0
CORLERA01 ,86,65,394,48,152,0,149
CORZIDA01 ,891,20772,7615,5262,1477,1340,3097
COSTELA01 ,706,21198,8622,2705,3215,0,3095
COTTOJA01 ,54,0,276,0,65,0,97
COTTOJA02 ,19,92,49,16,0,9,14
COUGHJO01 ,24,160,68,19,12,13,29
COUNTME01 ,789,13723,6516,4756,1100,0,2665
COURTJO01 ,96,749,264,140,27,47,106
COURTST01 ,24,317,101,22,22,0,42
COUSYBO01 ,924,30165,16960,4786,6955,0,6168
COWENDA01 ,766,29565,13516,10444,2910,543,5744
COXJO01   ,73,1685,573,280,142,0,239
COXJO02   ,7,78,29,10,6,9,13
COXWE01   ,74,813,342,206,23,80,122
CRAWFCH01 ,252,3986,1654,547,154,232,609
CRAWFFR01 ,297,5047,2031,746,610,0,832
CRAWFJA01 ,597,19445,9070,1631,2483,1269,3185
CrawfJo01 ,2,23,9,4,1,0,3
CREIGJI01 ,32,172,31,45,4,0,12
CREVIRO01 ,3,4,0,1,0,0,0
CRISLHA01 ,4,0,6,0,0,0,2
CRISPJO01 ,21,155,79,11,26,10,26
CRISSCH01 ,418,8960,3534,592,1335,640,1315
CRITCRU01 ,47,439,161,29,54,33,53
CRITEWI01 ,31,264,87,65,15,26,34
CrittJa01 ,113,1854,595,277,201,137,229
CROCKDI01 ,154,1559,1352,215,205,0,444
CROFTBO01 ,62,739,325,206,41,0,126
CROMPJE01 ,82,495,99,139,28,43,40
CROSBTE01 ,4,28,6,1,7,5,2
CROSHAU01 ,659,11477,4475,2650,627,656,1491
CROSSFR01 ,147,0,694,0,223,0,288
CROSSJE01 ,21,128,26,30,1,6,6
CROSSPE01 ,182,3775,1057,1519,187,0,403
CROSSRU01 ,45,354,166,82,22,19,64
CROTTJO01 ,477,5797,1903,502,999,428,625
CROWBI01  ,1,16,3,2,0,1,1
CROWDCO01 ,58,357,120,44,18,15,45
CROWMA01  ,15,154,84,27,8,12,35
CUETOAL01 ,149,2239,794,731,144,0,316
CUMMIPA01 ,683,14516,6529,3825,807,1152,2734
CUMMITE01 ,1183,33898,19460,8630,2190,2200,8045
CUMMIVO01 ,199,3787,1381,321,534,259,521
CUNNIBI01 ,654,22406,13626,6638,2625,0,5116
CUNNIBI01 ,116,4438,2684,1343,680,508,1024
CUNNIDI01 ,360,3792,1012,1324,221,0,408
CUNNIWI01 ,23,201,14,38,2,5,7
CURCIRA01 ,20,166,58,49,12,8,16
CUREAR01  ,12,0,10,0,0,0,4
CURETEA01 ,674,12420,3620,3172,678,728,1545
CURLEBI01 ,147,1614,394,290,60,75,157
CURRAFR01 ,123,0,602,0,149,0,159
CURRYDE01 ,1083,23548,12670,2617,1909,1299,5090
CURRYED01 ,504,12946,6755,2696,286,1148,2554
CURRYMI01 ,667,13207,2986,1048,804,459,1094
CVETKRA01 ,14,48,10,11,3,3,5
DABICMI01 ,10,49,20,13,2,5,8
DAHLEED01 ,14,112,35,22,5,0,14
DAILEQU01 ,528,12170,7470,1307,1188,1025,2936
DALEMSA01 ,500,13223,4043,4059,212,754,1649
DALLMHO01 ,146,0,1408,0,340,0,519
DAMPIER01 ,866,21814,6851,6404,760,1339,2598
DAMPILO01 ,232,4431,1553,261,643,134,692
DAMPILO01 ,728,27770,13726,2282,4044,1337,5290
DANDRBO01 ,839,29502,15530,5715,2846,630,6445
DANIEAN01 ,867,19641,6620,1608,2931,928,2269
DANIEER01 ,21,72,13,18,4,6,6
DANIELL01 ,200,3549,1411,440,312,211,553
DANIEMA01 ,351,8257,3315,1128,724,491,1350
DANIEME01 ,11,126,39,34,6,0,13
DANIEME01 ,628,22340,11739,9494,1134,1374,4659
DANILPR01 ,75,2331,957,182,149,153,331
DANTLAD01 ,955,34151,23177,5455,2830,2503,8169
DANTMI01  ,130,1858,432,186,248,0,184
DANTOMI01 ,50,798,173,76,115,47,77
DARCEHE01 ,12,90,11,10,2,0,3
DARDEJI01 ,26,0,211,0,67,0,78
DARDEOL01 ,223,4811,2047,1381,219,278,815
DAREYI01  ,110,1002,233,281,4,96,86
DARKJE01  ,47,401,170,37,30,0,74
DARNERI01 ,11,120,26,36,9,14,11
DARROJI01 ,5,34,12,7,6,0,3
DAUGHBR01 ,548,20029,10389,5227,2028,1511,3823
DAUGHMA01 ,4,43,13,5,3,0,4
DavidJe01 ,52,434,162,96,14,22,68
DAVIDKO01 ,109,1585,549,306,64,92,201
DAVIEBO01 ,462,8617,6594,980,2250,0,2292
DAVISAN01 ,903,26092,9041,6755,1017,1346,3187
DAVISAU01 ,59,0,287,0,14,0,107
DAVISBA01 ,673,23827,11364,2705,4902,1875,4119
DAVISBE01 ,40,154,54,53,5,7,21
DAVISBI01 ,47,0,84,0,11,0,35
DAVISBO01 ,9,41,16,5,2,0,6
DAVISBR01 ,961,22302,7866,1738,4709,1377,2970
DAVISBR02 ,68,374,131,55,22,19,40
DAVISCH01 ,144,2653,1287,219,319,0,506
DAVISCH02 ,415,5050,2214,1008,309,334,970
DAVISDA01 ,1094,29606,8706,8605,978,1090,3592
DAVISDW01 ,340,8010,2936,1991,529,0,1130
DAVISED01 ,286,3711,1478,800,295,0,579
DAVISEM01 ,226,3933,1100,440,396,267,402
DavisGl01 ,145,2579,843,509,97,136,306
DAVISHA01 ,44,424,175,72,16,26,72
DAVISHU01 ,685,15135,5583,1045,1172,646,2108
DAVISJA01 ,3,16,2,4,1,0,0
DAVISJI01 ,597,10027,3997,3109,739,0,1518
DAVISJO01 ,750,21200,9710,1505,3368,1398,3699
DAVISJO02 ,52,368,128,88,13,18,46
DAVISLE01 ,453,7805,3511,2195,435,349,1510
DAVISMA01 ,230,3681,1261,697,294,324,473
DAVISMA02 ,33,258,127,37,14,12,49
DAVISME01 ,190,2572,1008,816,164,0,431
DAVISMI01 ,51,836,377,76,66,36,143
DAVISMI01 ,191,4015,2066,435,346,0,790
DAVISMI02 ,23,126,64,41,9,17,25
DAVISMI03 ,8,28,14,10,0,0,4
DAVISMO01 ,2,10,3,4,0,0,1
DavisPa01 ,80,696,212,158,29,30,86
DAVISRA01 ,150,3202,1195,248,424,0,545
DAVISRI01 ,700,21434,9754,2493,2387,1577,3685
DAVISRO01 ,78,951,417,139,53,66,157
DAVISTE01 ,480,10369,3061,2882,273,518,1202
DAVISWA01 ,325,5344,1558,1397,231,0,623
DAVISWA02 ,447,13090,5449,4097,944,627,2022
DAVISWA03 ,1033,28859,19521,3053,3878,2541,8118
DAVISWI01 ,8,29,18,13,2,0,7
DAWKIDA01 ,726,17235,8733,4432,917,1621,3477
DAWKIJO01 ,541,14859,5984,1336,2997,1108,2361
DAWKIPA01 ,57,776,316,125,77,76,141
DAWSOJA01 ,21,288,118,21,32,16,46
DAWSOTO01 ,6,30,17,5,1,3,7
DAYEDA01  ,328,5208,2225,844,672,429,849
DAYTO01   ,483,12214,5915,1649,713,717,2035
DEANEGR01 ,7,48,10,6,6,3,2
DEANGBI01 ,8,47,10,6,8,0,3
DEBUSDA01 ,875,31202,14053,9618,2497,0,5722
DECLEAN01 ,587,9848,2815,2488,339,550,1118
DEEDO01   ,58,989,332,292,33,72,138
DEESAR01  ,190,3092,1548,907,132,0,575
DEHERTE01 ,402,7304,3235,588,1034,617,1082
DEHNEHE01 ,10,0,14,0,0,0,6
DELEBI01  ,413,10004,4536,2564,440,822,1847
DELFICA01 ,262,4491,1529,793,315,195,540
DELKTO01  ,545,11701,4957,1351,1024,573,1874
DELNEVI01 ,771,19211,7038,1810,2484,820,2863
DELONNA01 ,17,132,64,31,14,0,20
DEMBOFE01 ,31,74,36,23,5,7,14
DEMICLA01 ,206,3192,976,805,106,252,397
DEMPSDE01 ,20,108,59,9,9,13,21
DEMPSGE01 ,315,5720,1574,1125,711,0,591
DENGLU01  ,333,11131,5121,2105,735,568,2045
DENNAKE01 ,95,1244,268,286,93,69,109
DENNIBL01 ,1,9,5,4,0,0,2
DENTORA01 ,368,9484,4510,3329,495,581,1932
DENTORA01 ,45,700,239,218,33,0,103
DEPREJO01 ,119,2281,830,226,185,66,331
DERLIRO01 ,107,1005,518,86,71,0,215
DEUTSDA01 ,19,93,21,21,15,0,6
DEVLIWA01 ,210,4025,1496,449,446,0,560
DEZONHA01 ,5,0,17,18,9,0,6
DIALDE01  ,82,686,253,133,63,35,103
DiawaYa01 ,181,2566,650,254,119,69,231
DIAWBO01  ,459,13331,4240,2197,1836,926,1774
DiazGu01  ,6,17,5,2,1,0,1
DICKADA01 ,300,4619,1745,405,752,323,608
DICKECL01 ,57,458,150,54,46,45,66
DICKEDE01 ,321,5345,1962,1575,346,40,854
DICKEDI01 ,45,440,127,81,50,0,40
DICKEHE01 ,23,175,45,5,19,0,15
DICKEKA01 ,19,84,22,12,2,3,8
DICKEMI01 ,212,7490,3257,609,553,407,1219
DICKSJO01 ,21,100,36,33,3,10,14
DIENETR01 ,170,2602,848,241,424,99,296
DIERKCO01 ,706,15474,7094,4757,1053,0,2867
DIETRCO01 ,480,9241,2915,1869,990,481,1210
DIETRCO01 ,362,7046,2225,1903,750,474,940
DIGREER01 ,312,7859,2997,610,1594,93,1268
DILLADU01 ,3,19,4,9,2,5,1
DILLAMI01 ,33,221,73,15,34,17,29
DILLCR01  ,65,1354,445,378,31,64,187
DILLEBO01 ,57,0,296,0,40,0,111
DILLOJO01 ,22,0,36,0,5,0,10
DINKIBY01 ,45,511,151,52,94,50,58
DINKIJA01 ,18,89,45,20,7,0,17
DINNEHA01 ,11,87,19,23,5,8,6
DINWIBI01 ,220,2760,974,720,129,0,404
DIOGUIK01 ,187,2317,1139,574,67,177,405
DIOPDE01  ,509,7410,1086,1978,222,305,457
DISCHTE01 ,652,17841,9012,3646,1151,0,3457
DIUTEFR01 ,7,72,11,13,4,0,2
DIVACVL01 ,1134,33824,13398,9326,3541,2470,5205
DIXONJU01 ,436,8514,3678,816,775,552,1400
DJORDAL01 ,8,61,25,5,5,5,8
DODDEA01  ,9,0,15,0,6,0,6
DOLEAMI01 ,587,8790,2882,1956,343,376,1246
DOLHOJO01 ,77,0,494,18,174,0,160
DOLLBO01  ,196,0,1653,0,273,0,633
DONALJA01 ,957,26222,8203,7492,765,1454,3105
DONHABO01 ,273,4866,1818,1071,706,0,662
DONOVBI01 ,44,364,105,25,87,42,44
DONOVHA01 ,45,0,253,0,38,0,90
DOOLIKE01 ,542,10664,3919,753,1164,614,1399
DORSEJA01 ,60,449,143,141,16,28,56
DorseJo01 ,3,6,2,1,1,0,1
DORSERO01 ,1,12,4,5,0,1,2
DoubyQu01 ,143,1536,590,152,93,87,223
DOUGLBR01 ,8,98,14,14,17,9,7
DouglCh01 ,44,582,216,50,52,31,81
DOUGLJO01 ,67,1043,452,91,147,92,182
DOUGLLE01 ,456,10111,3587,2954,479,660,1386
DOUGLSH01 ,765,21148,8425,1672,4536,1760,3335
DOVELL01  ,57,398,174,114,23,0,69
DOVERJE01 ,4,13,8,0,1,0,3
DOVESO01  ,165,4573,2284,1220,196,2,925
DOWNEBI01 ,3,0,0,0,0,0,0
DOWNIST01 ,27,146,64,41,11,0,21
DOYLEDA01 ,4,25,16,8,3,0,6
DOZIETE01 ,9,92,22,15,3,7,9
DragiGo01 ,55,730,246,103,111,73,88
DREILGR01 ,474,4241,1014,1018,186,250,375
DREWBR01  ,243,3971,1081,295,524,209,419
DREWJO01  ,739,21828,15291,5088,1224,1402,5481
DREWLA01  ,714,18370,8110,1265,3702,1565,3308
DREXLCL01 ,1086,37537,22195,6677,6125,2977,8335
DRIGGNA01 ,15,132,36,22,6,6,13
DRISCTE01 ,41,403,119,104,35,28,49
DRISCTE01 ,233,3229,1008,1010,186,0,400
DROBNPR01 ,278,5539,2187,973,225,242,903
DROLLRA01 ,6,67,15,19,14,13,7
DUCKEDI01 ,34,424,132,56,47,0,54
DUCKWKE01 ,684,17462,8085,3945,598,1237,3216
DUDLECH01 ,361,6337,1908,1089,1230,227,686
DUDLECH02 ,886,16321,3473,5457,377,740,1391
DudleJa01 ,141,2546,796,492,137,93,300
DUEROTE01 ,143,1977,961,160,170,125,429
DUFFYBO01 ,17,0,19,0,0,0,7
DUFFYBO02 ,94,1123,400,104,167,0,164
DUHONCH01 ,379,10646,2957,965,1909,632,1004
DUKESWA01 ,553,14671,5765,6223,608,0,1912
DUMARJO01 ,1018,35139,16401,2203,4612,2084,5994
DUMASRI01 ,102,2226,1080,351,111,150,434
DUMASRI02 ,1,5,2,1,0,1,1
DUMASTO01 ,156,2222,1140,198,186,148,409
DUNCAAN01 ,136,0,746,30,101,0,294
DUNCATI01 ,899,33151,19246,10546,2847,2494,7376
DUNLEMI01 ,438,8428,3496,689,1723,713,1311
DUNLEMI02 ,499,14825,6217,2413,1326,858,2239
DUNNPA01  ,28,206,70,31,28,0,28
DUNNTR01  ,993,23080,5033,4371,1631,815,2030
DUPRERO01 ,154,1743,553,336,99,90,217
DuranKe01 ,154,5656,3497,830,397,457,1249
DURENJO01 ,201,2947,712,226,411,205,317
DURHAJA01 ,1,1,0,0,0,1,0
DURHAPA01 ,64,933,323,108,57,52,123
DURRADE01 ,63,807,317,132,85,81,122
DURREKE01 ,120,1205,484,233,54,0,192
DUVALDE01 ,50,267,96,31,34,0,39
DWANJA01  ,60,0,276,0,129,0,121
DYKEMCR01 ,32,103,43,12,15,7,17
DYKERGE01 ,11,91,16,16,5,0,6
EACKLLE01 ,441,8914,4783,979,740,600,1810
EAKINJI01 ,652,17279,7627,5142,1197,1078,2705
EAKINJI01 ,115,1744,628,436,148,33,195
EARLAC01  ,193,2512,980,517,61,170,361
EARLEED01 ,2,12,4,2,0,0,1
EATONMA01 ,875,25169,5216,6939,840,1293,2072
EAVESJE01 ,168,2685,1132,208,414,251,416
EBBENBI01 ,8,50,15,8,4,0,6
EBERHAL01 ,220,4138,1490,760,175,23,566
EBIND01   ,19,86,40,19,4,6,17
EBRONRO01 ,40,529,249,176,19,35,103
EDDIEPA01 ,4,13,4,1,0,0,2
EDDLETH01 ,266,3464,3221,913,550,0,1240
EDELIKE01 ,10,143,11,26,10,3,4
EDGECH01  ,155,3090,1201,981,109,212,507
EDMONBO01 ,75,1350,580,378,29,123,214
EDMONKE01 ,87,931,522,127,56,81,206
EDNEYTY01 ,226,4743,1728,393,907,395,583
EDWARBI01 ,3,44,6,14,4,4,2
EDWARBL01 ,704,18409,7585,2376,1409,1187,3021
EDWARCO01 ,10,110,27,25,3,2,10
EDWARDO01 ,85,838,203,153,60,57,71
EDWARFR01 ,296,4436,1802,300,774,398,738
EDWARJA01 ,1168,28356,14862,6004,1499,1931,5802
EDWARJA02 ,4,26,7,2,4,1,3
EDWARJO01 ,65,435,99,67,8,20,42
EDWARKE01 ,604,15332,6596,1655,1609,1138,2650
EGANJO01  ,712,14447,5521,1294,2102,0,2089
EGGLELO01 ,2,0,4,0,1,0,1
EHLERED01 ,99,0,800,0,177,0,286
EHLOCR01  ,873,21071,7492,3139,2456,1225,2977
EICHHDI01 ,1,10,2,1,3,0,1
EISLEHO01 ,786,16010,5116,1324,2748,1172,1881
EKEZIOB01 ,143,1515,510,383,31,95,165
EL-AMKH01 ,50,936,314,81,145,54,115
ELIASDO01 ,1,0,0,0,0,0,0
ELIEMA01  ,732,18654,6267,2017,1875,960,2124
ELLEFRA01 ,6,0,6,8,0,0,1
ELLIOBO01 ,141,2324,980,502,204,233,356
ELLIOSE01 ,742,24502,10544,3204,1897,1328,3852
ELLISAL01 ,118,1873,607,616,86,0,227
ELLISBO01 ,168,1984,613,482,113,145,236
ELLISDA01 ,1209,34778,19002,4201,1746,1771,7322
ELLISHA01 ,145,1923,840,291,89,111,312
ELLISJO01 ,524,10374,4623,2686,716,0,1946
ELLISLA01 ,624,17615,7410,4032,981,1001,2895
ELLISLE01 ,1048,27520,10176,8709,1405,0,4143
ELLISLE02 ,91,857,277,220,29,35,110
ELLISMO01 ,232,7493,3716,862,805,519,1458
ELLISPE01 ,474,11593,4494,3170,691,798,1826
ELMORLE01 ,505,8384,2327,2146,459,522,929
ELMORLE01 ,153,4005,1621,1214,157,258,698
ELSONFR01 ,393,6519,1578,1507,224,321,665
ELSTODA01 ,72,1869,596,163,202,126,250
ELSTODA01 ,5,40,5,6,2,0,2
ELYME01   ,343,5616,1917,1140,247,379,752
EMBRYWA01 ,831,21763,10380,7544,1194,0,3993
EMMETAN01 ,8,28,7,2,0,1,2
ENDRENE01 ,16,0,14,0,4,0,3
ENGLECH01 ,195,1405,343,386,45,91,138
ENGLEWA01 ,11,50,28,16,7,3,11
ENGLIAJ01 ,151,3108,1502,315,320,203,617
ENGLIAL01 ,1193,38063,25613,6538,4351,2821,10659
ENGLICL01 ,18,70,27,20,6,0,11
ENGLIJO01 ,50,577,179,54,46,46,74
ENGLISC01 ,76,1364,500,379,92,97,213
ENGLISC01 ,29,196,93,44,15,0,36
ENGLUGE01 ,46,0,360,0,41,0,104
EPPSRA01  ,13,72,26,5,2,2,10
ERIASBO01 ,18,401,148,83,26,0,59
ERICKKE01 ,766,18841,7251,3448,1991,0,3014
ERVINJU01 ,407,16550,11662,4924,1952,1617,4581
ERVINJU01 ,836,28677,18364,5601,3224,2323,7237
ESCHMEV01 ,153,2137,421,601,76,96,158
ESKRIJA01 ,23,0,64,0,14,0,25
ESPOSVI01 ,30,282,116,16,23,39,36
EVANSBI01 ,53,602,102,39,100,0,32
EVANSBO01 ,47,0,142,0,55,0,56
EVANSBR01 ,102,1097,375,164,77,42,144
EVANSEA01 ,36,381,157,75,37,36,63
EVANSMA01 ,386,7715,2716,1050,318,214,1032
EVANSMI01 ,591,9858,4531,808,1514,818,1835
EVANSRE01 ,514,10067,2205,3525,298,579,743
EWINGDA01 ,126,1671,425,158,174,106,160
EWINGPA01 ,1183,40597,24815,11606,2215,3535,9702
EZERSJO01 ,135,0,1031,0,169,0,366
FABELJO01 ,30,0,63,0,2,0,25
FAIRCJO01 ,30,171,60,45,11,0,23
FAIRCJO01 ,135,2106,1025,481,104,177,391
FARBMPH01 ,48,0,155,0,36,0,50
FARLEDI01 ,211,3822,1378,527,386,0,481
FarmaJo01 ,218,3966,1485,418,524,268,576
FarmeDe01 ,11,86,26,7,11,5,9
FARMEJI01 ,136,1454,715,186,111,118,275
FARMEMI01 ,423,8818,2816,1950,550,0,1165
FARMETO01 ,101,1368,532,327,79,91,144
FAUGHBO01 ,51,0,343,0,33,0,141
FazekNi01 ,26,269,107,89,11,13,46
FEDORDA01 ,7,27,6,6,1,0,3
FEERIBO01 ,221,0,2936,0,440,0,1077
FEHERBU01 ,48,487,248,74,36,0,86
FEICKJA01 ,201,4315,911,1437,139,152,351
